Model,Library,Format,Training Time (s),Memory Usage (MB),Validation Accuracy
GCN,PyG,COO,CiteSeer,0.5409915447235107,10.9453125,0.638
GCN,PyG,CSR,CiteSeer,0.9954845905303955,2.2265625,0.622
GCN,PyG,CSC,CiteSeer,0.9270367622375488,1.99609375,0.633
GCN,DGL,COO,CiteSeer,0.5591335296630859,1.19921875,0.7687687687687688
GCN,DGL,CSR,CiteSeer,0.5501885414123535,0.0,0.7865853658536586
GCN,DGL,CSC,CiteSeer,0.6693994998931885,0.46484375,0.7807807807807807
GraphSAGE,PyG,COO,CiteSeer,1.8526074886322021,178.734375,0.596
GraphSAGE,PyG,CSR,CiteSeer,1.731919288635254,53.13671875,0.583
GraphSAGE,PyG,CSC,CiteSeer,1.7697269916534424,-4.0078125,0.614
GraphSAGE,DGL,COO,CiteSeer,1.777298927307129,5.0,0.7717717717717718
GraphSAGE,DGL,CSR,CiteSeer,1.7779207229614258,33.1015625,0.760670731707317
GraphSAGE,DGL,CSC,CiteSeer,2.027221918106079,55.30859375,0.7702702702702703
GAT,PyG,COO,CiteSeer,0.6897885799407959,-219.0546875,0.575
GAT,PyG,CSR,CiteSeer,0.6509866714477539,1.23046875,0.594
GAT,PyG,CSC,CiteSeer,0.6488184928894043,2.203125,0.623
GAT,DGL,COO,CiteSeer,0.6376469135284424,2.21875,0.7567567567567568
GAT,DGL,CSR,CiteSeer,0.6574974060058594,1.921875,0.7545731707317073
GAT,DGL,CSC,CiteSeer,0.652775764465332,1.84765625,0.7537537537537538
